time,cumulative,average_temperature(°C),average_humidity(%),average_co2(ppm),average_illumination(lux)
2024-04-30 22:00:00,1.725,3.201,3.958,6.41,4.232
2024-04-30 23:00:00,1.725,3.195,3.927,6.334,4.234
2024-05-01 00:00:00,1.725,3.189,3.906,6.301,4.168
2024-05-01 01:00:00,1.725,3.146,3.904,6.307,4.234
2024-05-01 02:00:00,1.725,3.131,3.914,6.32,4.234
2024-05-01 03:00:00,1.725,3.123,3.91,6.328,4.01
2024-05-01 04:00:00,1.725,3.132,3.891,6.282,0.0
2024-05-01 05:00:00,1.725,3.138,3.854,6.237,0.0
2024-05-01 06:00:00,1.725,3.14,3.819,6.224,0.0
2024-05-01 07:00:00,1.725,3.139,3.807,6.224,0.0
2024-05-01 08:00:00,1.725,3.139,3.781,6.21,0.227
2024-05-01 09:00:00,1.725,3.139,3.742,6.23,4.051
2024-05-01 10:00:00,2.03,3.148,3.72,6.584,4.193
2024-05-01 11:00:00,2.099,3.171,3.717,6.847,4.187
2024-05-01 12:00:00,1.423,3.196,3.698,6.86,4.191
2024-05-01 13:00:00,1.829,3.193,3.647,6.57,4.102
2024-05-01 14:00:00,,3.199,3.672,6.832,4.204
2024-05-01 15:00:00,1.615,3.217,3.658,6.887,4.202
2024-05-01 16:00:00,1.653,3.223,3.663,6.864,4.203
2024-05-01 17:00:00,1.854,3.23,3.668,6.912,4.191
2024-05-01 18:00:00,1.713,3.225,3.66,6.873,4.201
2024-05-01 19:00:00,1.353,3.206,3.665,6.782,4.203
2024-05-01 20:00:00,1.353,3.183,3.657,6.497,4.225
2024-05-01 21:00:00,1.864,3.161,3.654,6.429,4.222
2024-05-01 22:00:00,1.758,3.149,3.687,6.53,4.228
2024-05-01 23:00:00,1.758,3.144,3.686,6.51,4.2
2024-05-02 00:00:00,1.758,3.14,3.678,6.368,4.185
2024-05-02 01:00:00,1.758,3.137,3.679,6.291,4.174
2024-05-02 02:00:00,1.758,3.137,3.685,6.292,4.177
2024-05-02 03:00:00,1.758,3.136,3.681,6.281,4.082
2024-05-02 04:00:00,1.758,3.138,3.675,6.266,0.0
2024-05-02 05:00:00,1.758,3.137,3.675,6.235,0.0
2024-05-02 06:00:00,1.758,3.136,3.676,6.229,-0.778
